EnumID,EnumValue
6101,农林牧渔
6102,采掘
6103,化工
6104,钢铁
6105,有色金属
6106,建筑建材
6107,机械设备
6108,电子
6109,交运设备
6110,信息设备
6111,家用电器
6112,食品饮料
6113,纺织服装
6114,轻工制造
6115,医药生物
6116,公用事业
6117,交通运输
6118,房地产
6119,金融服务
6120,商业贸易
6121,休闲服务
6122,信息服务
6123,综合
6124,建筑材料
6125,建筑装饰
6126,电气设备
6127,机械设备
6128,国防军工
6129,汽车
6130,计算机
6131,传媒
6132,通信
6133,银行
6134,非银金融
610101,林业Ⅱ
610102,农产品加工
610103,农业综合Ⅱ
610104,饲料Ⅱ
610105,渔业
610106,种植业
610107,畜禽养殖Ⅱ
610108,动物保健Ⅱ
610201,煤炭开采Ⅱ
610202,其他采掘Ⅱ
610203,石油开采Ⅱ
610204,采掘服务Ⅱ
610301,化工新材料Ⅱ
610302,化学纤维
610303,化学原料
610304,化学制品
610305,石油化工
610306,塑料Ⅱ
610307,橡胶
610401,钢铁Ⅱ
610501,金属非金属新材料
610502,有色金属冶炼与加工
610503,工业金属
610504,黄金Ⅱ
610505,稀有金属
610601,建筑材料
610602,建筑装饰
610701,电气设备
610702,通用机械
610703,仪器仪表Ⅱ
610704,专用设备
610705,金属制品Ⅱ
610801,半导体
610802,其他电子Ⅱ
610803,元件Ⅱ
610804,光学光电子
610805,电子制造Ⅱ
610901,非汽车交运设备
610902,交运设备服务
610903,汽车零部件Ⅱ
610904,汽车整车
611001,计算机设备Ⅱ
611002,通信设备
611101,白色家电
611102,视听器材
611201,食品加工
611202,食品制造
611203,饮料制造
611204,食品加工
611301,纺织制造
611302,服装家纺
611401,包装印刷Ⅱ
611402,家用轻工
611403,造纸Ⅱ
611404,其他轻工制造Ⅱ
611501,化学制药
611502,生物制品Ⅱ
611503,医疗器械Ⅱ
611504,医药商业Ⅱ
611505,中药Ⅱ
611506,医疗服务Ⅱ
611601,电力
611602,环保工程及服务Ⅱ
611603,燃气Ⅱ
611604,水务Ⅱ
611701,港口Ⅱ
611702,公交Ⅱ
611703,航空运输Ⅱ
611704,机场Ⅱ
611705,高速公路Ⅱ
611706,航运Ⅱ
611707,铁路运输Ⅱ
611708,物流Ⅱ
611801,房地产开发Ⅱ
611802,园区开发Ⅱ
611901,多元金融Ⅱ
611902,银行Ⅱ
611903,证券Ⅱ
611904,保险Ⅱ
612001,零售
612002,贸易Ⅱ
612003,一般零售
612004,专业零售
612005,商业物业经营
612101,餐饮Ⅱ
612102,景点
612103,酒店Ⅱ
612104,旅游综合Ⅱ
612105,其他休闲服务Ⅱ
612201,传媒
612202,计算机应用
612203,通信运营Ⅱ
612204,网络服务
612301,综合Ⅱ
612401,水泥制造Ⅱ
612402,玻璃制造Ⅱ
612403,其他建材Ⅱ
612501,房屋建设Ⅱ
612502,装修装饰Ⅱ
612503,园林工程Ⅱ
612504,基础建设
612505,专业工程
612601,电机Ⅱ
612602,电气自动化设备
612603,电源设备
612604,高低压设备
612701,通用机械
612702,专用设备
612703,仪器仪表Ⅱ
612704,金属制品Ⅱ
612705,运输设备Ⅱ
612801,航天装备Ⅱ
612802,航空装备Ⅱ
612803,地面兵装Ⅱ
612804,船舶制造Ⅱ
612901,汽车整车
612902,汽车零部件Ⅱ
612903,汽车服务Ⅱ
612904,其他交运设备Ⅱ
613001,计算机设备Ⅱ
613002,计算机应用
613101,文化传媒
613102,营销传播
613103,互联网传媒
613201,通信运营Ⅱ
613202,通信设备
613301,银行Ⅱ
613401,证券Ⅱ
613402,保险Ⅱ
613403,多元金融Ⅱ
61010101,林业Ⅲ
61010201,果蔬加工
61010202,粮油加工
61010203,畜禽加工
61010204,其他农产品加工
61010301,农业综合Ⅲ
61010401,饲料Ⅲ
61010501,海洋捕捞
61010502,水产养殖
61010601,种子生产
61010602,粮食种植
61010603,其他种植业
61010701,畜禽养殖Ⅲ
61010801,动物保健Ⅲ
61020101,煤炭开采Ⅲ
61020102,焦炭加工
61020201,其他采掘Ⅲ
61020301,石油开采Ⅲ
61020401,油气钻采服务
61020402,其他采掘服务
61030101,其他化工新材料
61030102,聚氨酯
61030103,玻纤
61030201,涤纶
61030202,维纶
61030203,粘胶
61030204,其他纤维
61030205,氨纶
61030301,纯碱
61030302,氯碱
61030303,无机盐
61030304,其他化学原料
61030401,氮肥
61030402,磷肥
61030403,农药
61030404,日用化学产品
61030405,涂料油漆油墨制造
61030406,钾肥
61030407,民爆用品
61030408,纺织化学用品
61030409,其他化学制品
61030410,复合肥
61030411,氟化工及制冷剂
61030412,磷化工及磷酸盐
61030413,聚氨酯
61030414,玻纤
61030501,石油加工
61030502,炼焦业
61030503,石油贸易
61030601,其他塑料制品
61030602,合成革
61030603,改性塑料
61030701,轮胎
61030702,其他橡胶制品
61030703,炭黑
61040101,普钢
61040102,特钢
61050101,金属新材料Ⅲ
61050102,磁性材料
61050103,非金属新材料
61050201,有色金属冶炼Ⅲ
61050202,铝
61050203,铜
61050204,铅锌
61050205,黄金
61050206,小金属
61050301,铝
61050302,铜
61050303,铅锌
61050401,黄金Ⅲ
61050501,稀土
61050502,钨
61050503,锂
61050504,其他稀有小金属
61060101,玻璃制造
61060102,水泥制造
61060103,陶瓷制造
61060104,其他建材
61060105,耐火材料
61060106,管材
61060201,建筑施工
61060202,装饰园林
61060203,房屋建设
61060204,基础建设
61060205,专业工程
61070101,电机
61070102,电气自控设备
61070103,电源设备
61070104,输变电设备
61070105,其他电力设备
61070201,机床工具
61070202,机械基础件
61070203,磨具磨料
61070204,内燃机
61070205,制冷空调设备
61070206,其它通用机械
61070301,仪器仪表Ⅲ
61070401,纺织服装设备
61070402,工程机械
61070403,农用机械
61070404,重型机械
61070405,冶金矿采化工设备
61070406,印刷包装机械
61070407,其它专用机械
61070408,楼宇设备
61070409,环保设备
61070501,金属制品Ⅲ
61080101,集成电路
61080102,分立器件
61080103,半导体材料
61080201,其他电子Ⅲ
61080301,元件Ⅲ
61080302,印制电路板
61080303,被动元件
61080401,显示器件Ⅲ
61080402,LED
61080403,光学元件
61080501,电子系统组装
61080502,电子零部件制造
61090101,摩托车
61090102,农机设备
61090103,其他交运设备
61090104,航空航天设备
61090105,船舶制造
61090106,铁路设备
61090107,其他交运设备Ⅲ
61090201,汽车服务
61090202,其他交运设备服务
61090301,汽车零部件Ⅲ
61090401,乘用车
61090402,商用载货车
61090403,商用载客车
61090404,专用汽车
61100101,计算机设备Ⅲ
61100201,交换设备
61100202,终端设备
61100203,通信传输设备
61100204,通信配套服务
61110101,冰箱
61110102,空调
61110103,洗衣机
61110104,小家电
61110105,家电零部件
61110201,彩电
61110202,其它视听器材
61120101,肉制品
61120102,制糖
61120103,食品综合
61120201,调味发酵品
61120202,乳品
61120301,白酒
61120302,啤酒
61120303,其他酒类
61120304,软饮料
61120305,葡萄酒
61120306,黄酒
61120401,肉制品
61120402,调味发酵品
61120403,乳品
61120404,食品综合
61130101,毛纺
61130102,棉纺
61130103,丝绸
61130104,印染
61130105,辅料
61130106,其他纺织
61130201,服装Ⅲ
61130202,男装
61130203,女装
61130204,休闲服装
61130205,鞋帽
61130206,家纺
61130207,其他服装
61140101,包装印刷Ⅲ
61140201,其他轻工制造Ⅲ
61140202,家具
61140203,其他家用轻工
61140204,珠宝首饰
61140205,文娱用品
61140301,造纸Ⅲ
61140401,其他轻工制造Ⅲ
61150101,化学原料药
61150102,化学制剂
61150103,化学药
61150201,生物制品Ⅲ
61150301,医疗器械Ⅲ
61150401,医药商业Ⅲ
61150501,中药Ⅲ
61150601,医疗服务Ⅲ
61160101,火电
61160102,水电
61160103,燃机发电
61160104,热电
61160105,新能源发电
61160201,环保工程及服务Ⅲ
61160301,燃气Ⅲ
61160401,水务Ⅲ
61170101,港口Ⅲ
61170201,公交Ⅲ
61170301,航空运输Ⅲ
61170401,机场Ⅲ
61170501,高速公路Ⅲ
61170601,航运Ⅲ
61170701,铁路运输Ⅲ
61170801,物流Ⅲ
61180101,房地产开发Ⅲ
61180201,园区开发Ⅲ
61190101,多元金融Ⅲ
61190201,银行Ⅲ
61190301,证券Ⅲ
61190401,保险Ⅲ
61200101,百货零售
61200102,专业连锁
61200103,商业物业经营
61200201,贸易Ⅲ
61200301,百货
61200302,超市
61200303,多业态零售
61200401,专业连锁
61200501,一般物业经营
61200502,专业市场
61210101,餐饮Ⅲ
61210201,人工景点
61210202,自然景点
61210301,酒店Ⅲ
61210401,旅游综合Ⅲ
61210501,其他休闲服务Ⅲ
61220101,平面媒体
61220102,影视动漫
61220103,营销服务
61220104,其他传媒
61220201,系统集成
61220202,软件开发及服务
61220301,通信运营Ⅲ
61220401,互联网信息服务
61220402,移动通讯增值服务
61220403,其他网络服务
61220404,有线电视网络
61230101,综合Ⅲ
61240101,水泥制造Ⅲ
61240201,玻璃制造Ⅲ
61240301,耐火材料
61240302,管材
61240303,其他建材Ⅲ
61250101,房屋建设Ⅲ
61250201,装修装饰Ⅲ
61250301,园林工程Ⅲ
61250401,城轨建设
61250402,路桥施工
61250403,水利工程
61250404,铁路建设
61250405,其他基础建设
61250501,钢结构
61250502,化学工程
61250503,国际工程承包
61250504,其他专业工程
61260101,电机Ⅲ
61260201,电网自动化
61260202,工控自动化
61260203,计量仪表
61260301,综合电力设备商
61260302,风电设备
61260303,光伏设备
61260304,火电设备
61260305,储能设备
61260306,其它电源设备
61260401,高压设备
61260402,中压设备
61260403,低压设备
61260404,线缆部件及其他
61270101,机床工具
61270102,机械基础件
61270103,磨具磨料
61270104,内燃机
61270105,制冷空调设备
61270106,其它通用机械
61270201,工程机械
61270202,重型机械
61270203,冶金矿采化工设备
61270204,楼宇设备
61270205,环保设备
61270206,纺织服装设备
61270207,农用机械
61270208,印刷包装机械
61270209,其它专用机械
61270301,仪器仪表Ⅲ
61270401,金属制品Ⅲ
61270501,铁路设备
61280101,航天装备Ⅲ
61280201,航空装备Ⅲ
61280301,地面兵装Ⅲ
61280401,船舶制造Ⅲ
61290101,乘用车
61290102,商用载货车
61290103,商用载客车
61290201,汽车零部件Ⅲ
61290301,汽车服务Ⅲ
61290401,其他交运设备Ⅲ
61300101,计算机设备Ⅲ
61300201,软件开发
61300202,IT服务
61310101,平面媒体
61310102,影视动漫
61310103,有线电视网络
61310104,其他文化传媒
61310201,营销服务
61310301,互联网信息服务
61310302,移动互联网服务
61310303,其他互联网服务
61320101,通信运营Ⅲ
61320201,终端设备
61320202,通信传输设备
61320203,通信配套服务
61330101,银行Ⅲ
61340101,证券Ⅲ
61340201,保险Ⅲ
61340301,多元金融Ⅲ
