EnumID,EnumValue
10,能源
15,材料
20,工业
25,可选消费
30,日常消费
35,医疗保健
40,金融
45,信息技术
50,电信服务
55,公用事业
60,房地产
1010,能源Ⅱ
1510,材料Ⅱ
2010,资本货物
2020,商业和专业服务
2030,运输
2510,汽车与汽车零部件
2520,耐用消费品与服装
2530,消费者服务Ⅱ
2540,媒体Ⅱ
2550,零售业
3010,食品与主要用品零售Ⅱ
3020,食品、饮料与烟草
3030,家庭与个人用品
3510,医疗保健设备与服务
3520,制药、生物科技与生命科学
4010,银行
4020,多元金融
4030,保险Ⅱ
4040,房地产Ⅱ
4510,软件与服务
4520,技术硬件与设备
4530,半导体与半导体生产设备
5010,电信服务Ⅱ
5020,媒体与娱乐
5510,公用事业Ⅱ
6010,房地产Ⅱ
101010,能源设备与服务
101020,石油、天然气与供消费用燃料
151010,化工
151020,建材Ⅲ
151030,容器与包装
151040,金属、非金属与采矿
151050,纸与林木产品
201010,航空航天与国防Ⅲ
201020,建筑产品Ⅲ
201030,建筑与工程Ⅲ
201040,电气设备
201050,综合类Ⅲ
201060,机械
201070,贸易公司与工业品经销商Ⅲ
202010,商业服务与用品
202020,专业服务
203010,航空货运与物流Ⅲ
203020,航空Ⅲ
203030,海运Ⅲ
203040,公路与铁路运输
203050,交通基础设施
251010,汽车零配件
251020,汽车
252010,家庭耐用消费品
252020,休闲设备与用品
252030,纺织品、服装与奢侈品
253010,酒店、餐馆与休闲Ⅲ
253020,综合消费者服务Ⅲ
254010,媒体Ⅲ
255010,消费品经销商Ⅲ
255020,互联网与售货目录零售
255030,多元化零售
255040,专营零售
301010,食品与主要用品零售Ⅲ
302010,饮料
302020,食品
302030,烟草Ⅲ
303010,家庭用品Ⅲ
303020,个人用品Ⅲ
351010,医疗保健设备与用品
351020,医疗保健提供商与服务
351030,医疗保健技术Ⅲ
352010,生物科技Ⅲ
352020,制药
352030,生命科学工具和服务Ⅲ
401010,商业银行
401020,互助储蓄银行与抵押信贷Ⅲ
402010,多元金融服务
402020,消费信贷Ⅲ
402030,资本市场
402040,抵押房地产投资信托(REITs)
403010,保险Ⅲ
404020,房地产投资信托
404030,房地产管理与开发
451010,互联网软件与服务Ⅲ
451020,信息技术服务
451030,软件
452010,通信设备Ⅲ
452020,电脑与外围设备
452030,电子设备、仪器和元件
452040,办公电子设备Ⅲ
453010,半导体产品与半导体设备
501010,多元电信服务
501020,无线电信业务Ⅲ
502010,媒体Ⅲ
502020,娱乐
502030,互动媒体与服务Ⅲ
551010,电力Ⅲ
551020,燃气Ⅲ
551030,复合型公用事业Ⅲ
551040,水务Ⅲ
551050,独立电力生产商与能源贸易商Ⅲ
601010,股权房地产投资信托(REITs)
601020,房地产管理和开发
10101010,石油天然气钻井
10101020,石油天然气设备与服务
10102010,综合性石油天然气
10102020,石油天然气勘探与生产
10102030,石油与天然气的炼制和销售
10102040,石油与天然气的储存和运输
10102050,煤炭与消费用燃料
15101010,基础化工
15101011,化纤
15101020,多元化工
15101030,化肥与农用化工
15101040,工业气体
15101050,特种化工
15102010,建材
15103010,金属与玻璃容器
15103020,纸包装
15104010,铝
15104020,金属非金属
15104025,铜
15104030,黄金
15104040,贵金属与矿石
15104045,白银
15104050,钢铁
15104060,铜
15105010,林木产品
15105020,纸制品
20101010,航天航空与国防
20102010,建筑产品
20103010,建筑与工程
20104010,电气部件与设备
