ID,WindCode,StartDate,EndDate
0,000005.SZ,19901210,20751231
1,600601.SH,19901219,20751231
2,600602.SH,19901219,20751231
3,600651.SH,19901219,20751231
4,600652.SH,19901219,20751231
5,600653.SH,19901219,20751231
6,600654.SH,19901219,20751231
7,600656.SH,19901219,20160513
8,000004.SZ,19910114,20751231
9,000002.SZ,19910129,20751231
10,000001.SZ,19910403,20751231
11,000009.SZ,19910625,20751231
12,000003.SZ,19910703,20020614
13,600603.SH,19920113,20751231
14,000012.SZ,19920228,20751231
15,000016.SZ,19920327,20751231
16,600604.SH,19920327,20751231
17,600605.SH,19920327,20751231
18,600606.SH,19920327,20751231
19,600607.SH,19920327,20100212
20,600608.SH,19920327,20751231
21,000011.SZ,19920330,20751231
22,000017.SZ,19920331,20751231
23,000007.SZ,19920413,20751231
24,000006.SZ,19920427,20751231
25,000020.SZ,19920428,20751231
26,000013.SZ,19920506,20040920
27,000008.SZ,19920507,20751231
28,000014.SZ,19920602,20751231
29,000018.SZ,19920616,20200107
30,000015.SZ,19920625,20011022
31,600609.SH,19920724,20751231
32,600610.SH,19920805,20751231
33,600611.SH,19920807,20751231
34,600612.SH,19920814,20751231
35,600613.SH,19920820,20751231
36,600614.SH,19920828,20210721
37,600655.SH,19920902,20751231
38,600615.SH,19920910,20751231
39,600616.SH,19920929,20751231
40,000019.SZ,19921012,20751231
41,600617.SH,19921013,20751231
42,600618.SH,19921113,20751231
43,600619.SH,19921116,20751231
44,600620.SH,19921117,20751231
45,000501.SZ,19921120,20751231
46,000502.SZ,19921123,20751231
47,000503.SZ,19921130,20751231
48,600621.SH,19921202,20751231
49,600622.SH,19921203,20751231
50,600623.SH,19921204,20751231
51,000504.SZ,19921208,20751231
52,000505.SZ,19921221,20751231
53,600624.SH,19930105,20751231
54,600625.SH,19930106,20010423
55,600626.SH,19930107,20751231
56,600627.SH,19930118,20081126
57,600628.SH,19930119,20751231
58,600629.SH,19930209,20751231
59,600630.SH,19930209,20751231
60,600631.SH,19930219,20110823
61,600632.SH,19930219,20041118
62,600633.SH,19930304,20751231
63,600634.SH,19930304,20210721
64,600635.SH,19930304,20751231
65,000506.SZ,19930312,20751231
66,600636.SH,19930316,20751231
67,600637.SH,19930316,20751231
68,000507.SZ,19930326,20751231
69,600638.SH,19930326,20751231
70,600639.SH,19930326,20751231
71,600640.SH,19930407,20751231
72,600641.SH,19930407,20751231
73,600642.SH,19930416,20751231
74,600643.SH,19930426,20751231
75,600644.SH,19930426,20751231
76,000023.SZ,19930429,20751231
77,000508.SZ,19930430,19990712
78,600645.SH,19930504,20751231
79,600646.SH,19930504,20030922
80,600647.SH,19930504,20751231
81,600648.SH,19930504,20751231
82,001872.SZ,19930505,20751231
83,000509.SZ,19930507,20751231
84,000510.SZ,19930507,20751231
85,000511.SZ,19930518,20180718
86,600649.SH,19930518,20751231
87,600657.SH,19930524,20751231
88,600658.SH,19930524,20751231
89,600659.SH,19930528,20060323
90,000026.SZ,19930603,20751231
91,000024.SZ,19930607,20151230
92,600650.SH,19930607,20751231
93,600660.SH,19930610,20751231
94,600661.SH,19930614,20751231
95,600662.SH,19930614,20751231
96,000025.SZ,19930621,20751231
97,600663.SH,19930628,20751231
98,600664.SH,19930629,20751231
99,600665.SH,19930709,20751231
100,000514.SZ,19930712,20751231
101,000515.SZ,19930712,20090506
102,600666.SH,19930712,20751231
103,600667.SH,19930728,20751231
104,600668.SH,19930728,20751231
105,000517.SZ,19930806,20751231
106,600669.SH,19930806,20040915
107,000028.SZ,19930809,20751231
108,000516.SZ,19930809,20751231
109,600670.SH,19930809,20040924
110,600671.SH,19930823,20751231
111,600600.SH,19930827,20751231
112,000027.SZ,19930903,20751231
113,000518.SZ,19930908,20751231
114,000029.SZ,19930915,20751231
115,600672.SH,19930917,20050805
116,600673.SH,19930917,20751231
117,600674.SH,19930924,20751231
118,600675.SH,19930924,20751231
119,600676.SH,19930928,20751231
120,600677.SH,19930928,20210318
121,000030.SZ,19930929,20751231
122,000031.SZ,19931008,20751231
123,000519.SZ,19931008,20751231
124,600678.SH,19931008,20751231
125,600679.SH,19931008,20751231
126,000521.SZ,19931018,20751231
127,600680.SH,19931018,20190524
128,600681.SH,19931018,20751231
129,600682.SH,19931018,20751231
130,000520.SZ,19931025,20751231
131,600683.SH,19931025,20751231
132,000032.SZ,19931028,20751231
133,000513.SZ,19931028,20751231
134,000525.SZ,19931028,20751231
135,600684.SH,19931028,20751231
136,600685.SH,19931028,20751231
137,000526.SZ,19931101,20751231
138,000522.SZ,19931108,20130426
139,000523.SZ,19931108,20751231
140,600686.SH,19931108,20751231
141,600687.SH,19931108,20210303
142,600688.SH,19931108,20751231
143,600689.SH,19931108,20751231
144,000527.SZ,19931112,20130918
145,000524.SZ,19931118,20751231
146,000528.SZ,19931118,20751231
147,000529.SZ,19931118,20751231
148,600690.SH,19931119,20751231
149,600691.SH,19931119,20751231
150,600692.SH,19931119,20751231
151,600693.SH,19931122,20751231
152,600694.SH,19931122,20751231
153,600695.SH,19931122,20751231
154,000541.SZ,19931123,20751231
155,000536.SZ,19931126,20751231
156,000539.SZ,19931126,20751231
157,000535.SZ,19931130,20050921
158,000547.SZ,19931130,20751231
159,000542.SZ,19931201,20040113
160,000550.SZ,19931201,20751231
161,000553.SZ,19931203,20751231
162,600696.SH,19931206,20751231
163,600697.SH,19931206,20751231
164,600698.SH,19931206,20751231
165,600699.SH,19931206,20751231
166,600800.SH,19931206,20751231
167,000530.SZ,19931208,20751231
168,000544.SZ,19931208,20751231
169,000537.SZ,19931210,20751231
170,000538.SZ,19931215,20751231
171,000545.SZ,19931215,20751231
172,000546.SZ,19931215,20751231
173,000554.SZ,19931215,20751231
174,000543.SZ,19931220,20751231
175,000548.SZ,19931220,20751231
176,000549.SZ,19931220,20070427
177,000033.SZ,19940103,20170707
178,000532.SZ,19940103,20751231
179,000533.SZ,19940103,20751231
180,600801.SH,19940103,20751231
181,600802.SH,19940103,20751231
182,600803.SH,19940103,20751231
183,600804.SH,19940103,20751231
184,600805.SH,19940103,20751231
185,600806.SH,19940103,20180713
186,600807.SH,19940103,20751231
187,000531.SZ,19940106,20751231
188,000551.SZ,19940106,20751231
189,000552.SZ,19940106,20751231
190,600808.SH,19940106,20751231
191,600809.SH,19940106,20751231
192,600810.SH,19940106,20751231
193,600811.SH,19940106,20751231
194,000534.SZ,19940110,20751231
195,000559.SZ,19940110,20751231
196,000563.SZ,19940110,20751231
197,000564.SZ,19940110,20751231
198,600812.SH,19940114,20751231
199,600813.SH,19940114,20020916
200,600814.SH,19940114,20751231
201,600815.SH,19940128,20751231
202,600816.SH,19940128,20751231
203,600817.SH,19940128,20751231
