EnumID,EnumValue
10,石油石化
11,煤炭
12,有色金属
20,电力及公用事业
21,钢铁
22,基础化工
23,建筑
24,建材
25,轻工制造
26,机械
27,电力设备及新能源
28,国防军工
30,汽车
31,商贸零售
32,消费者服务
33,家电
34,纺织服装
35,医药
36,食品饮料
37,农林牧渔
40,银行
41,非银行金融
42,房地产
43,综合金融
50,交通运输
60,电子
61,通信
62,计算机
63,传媒
70,综合
1010,石油开采Ⅱ
1020,石油化工
1030,油服工程
1110,煤炭开采洗选
1120,煤炭化工
1210,贵金属
1220,工业金属
1230,稀有金属
2010,发电及电网
2020,环保及公用事业
2110,普钢
2120,其他钢铁
2130,特材
2210,农用化工
2220,化学纤维
2230,化学原料
2240,其他化学制品Ⅱ
2250,塑料及制品
2260,橡胶及制品
2310,建筑施工
2320,建筑装修Ⅱ
2330,建筑设计及服务Ⅱ
2410,水泥Ⅱ
2420,玻璃Ⅱ
2430,其他建材
2440,结构材料
2450,装饰材料
2460,专用材料Ⅱ
2510,造纸Ⅱ
2520,包装印刷
2530,家居
2540,文娱轻工Ⅱ
2550,其他轻工Ⅱ
2610,工程机械Ⅱ
2620,专用机械
2630,通用设备
2640,运输设备
2650,仪器仪表Ⅱ
2660,金属制品Ⅱ
2710,电站设备Ⅱ
2720,电气设备
2730,电源设备
2740,新能源动力系统
2810,航空航天
2820,兵器兵装Ⅱ
2830,其他军工Ⅱ
3010,乘用车Ⅱ
3020,商用车
3030,汽车零部件Ⅱ
3040,汽车销售及服务Ⅱ
3050,摩托车及其他Ⅱ
3110,一般零售
3120,贸易Ⅱ
3130,专营连锁
3140,电商及服务Ⅱ
3150,专业市场经营Ⅱ
3210,旅游及休闲
3220,酒店及餐饮
3230,教育
3240,综合服务
3310,白色家电Ⅱ
3320,黑色家电Ⅱ
3330,小家电Ⅱ
3340,照明电工及其他
3350,厨房电器Ⅱ
3410,纺织制造
3410,纺织
3420,品牌服饰
3420,服装Ⅱ
3430,服饰Ⅱ
3510,化学制药
3520,中药生产
3530,生物医药Ⅱ
3540,其他医药医疗
3610,酒类
3620,饮料
3630,食品
3710,种植业
3720,畜牧业
3730,林业
3740,渔业
3750,农产品加工Ⅱ
4010,国有大型银行Ⅱ
4020,全国性股份制银行Ⅱ
4030,区域性银行
4110,证券Ⅱ
4120,保险Ⅱ
4130,多元金融
4210,房地产开发和运营
4220,房地产服务
4310,资产管理Ⅱ
4320,多领域控股Ⅱ
4330,新兴金融服务Ⅱ
4340,其他综合金融Ⅱ
5010,公路铁路
5020,物流
5030,航运港口
5040,航空机场
6010,半导体
6020,电子设备Ⅱ
6030,元器件
6040,光学光电
6050,消费电子
6060,其他电子零组件Ⅱ
6110,电信运营Ⅱ
6120,通信设备制造
6130,增值服务Ⅱ
6140,通讯工程服务
6210,计算机设备
6220,计算机软件
6230,IT服务
6240,云服务
6250,产业互联网
6310,媒体
6320,广告营销
6330,文化娱乐
6340,互联网媒体
7010,综合Ⅱ
101010,石油开采Ⅲ
102010,炼油
102020,橡胶
102030,塑料
102040,油品销售及仓储
102050,其他石化
103010,油田服务
103020,工程服务
111010,动力煤
111020,无烟煤
111030,炼焦煤
112010,焦炭
112020,其他煤化工
121010,黄金
122010,铜
122020,铅锌
122030,镍钴
122040,锡锑
122050,铝
123010,稀有金属Ⅲ
123020,稀土及磁性材料
123030,镍钴锡锑
123040,钨
123050,锂
123060,其他稀有金属
201010,火电
201020,水电
201030,其他发电
201040,电网
202010,环保
202020,水务
202030,燃气
202040,供热或其他
202050,环保及水务
211010,长材
211020,板材
212010,特钢
212020,铁矿石
212030,贸易流通
212040,钢铁耗材
213010,特钢
221010,氮肥
221020,钾肥
221030,磷肥
221040,复合肥
221050,农药
221060,磷肥及磷化工
222010,涤纶
222020,维纶
222030,氨纶
222040,粘胶
222050,绵纶
222060,树脂
222070,碳纤维
223010,纯碱
223020,氯碱
223030,无机盐
223040,氟化工
223050,有机硅
223060,磷化工
223070,聚氨酯
223080,其他化学原料
223090,钛白粉
224010,日用化学品
224011,锂电化学品
224020,民爆用品
224021,氟化工
224030,涂料油墨颜料
224031,有机硅
224040,印染化学品
224041,聚氨酯
224050,橡胶制品
224051,橡胶助剂
224060,塑料制品
224070,其他化学制品Ⅲ
224080,食品及饲料添加剂
224090,电子化学品
225010,改性塑料
225020,合成树脂
225030,膜材料
225040,其他塑料制品
226010,轮胎
226020,橡胶制品
231010,建筑施工Ⅲ
231020,房建建设
231030,基建建设
231040,园林工程
231050,专业工程及其他
232010,建筑装修Ⅲ
233010,建筑设计及服务Ⅲ
241010,水泥Ⅲ
242010,玻璃Ⅲ
243010,陶瓷
243020,新型建材及非金属新材料
244010,水泥
244020,玻璃
244030,其他结构材料
245010,陶瓷
245020,其他装饰材料
246010,玻璃纤维
246020,其他专用材料
251010,造纸Ⅲ
252010,印刷
252020,包装
252030,其他轻工Ⅲ
252040,纸包装
252050,金属包装
252060,其他包装
253010,家具
253020,其他家居
254010,文娱轻工Ⅲ
255010,其他轻工Ⅲ
261010,工程机械Ⅲ
261020,叉车
261030,电梯
261040,高空作业车
262010,矿山冶金机械
262020,纺织服装机械
262030,其他专用机械
262040,油气装备
262050,核电设备
262060,光伏设备
262070,3C设备
262080,锂电设备
263010,锅炉设备
263020,机床设备
263030,起重运输设备
263040,基础件
263050,其他通用机械
263060,工业机器人及工控系统
263070,服务机器人
263080,塑料加工机械
263090,激光加工设备
264010,铁路交通设备
264020,船舶制造
264030,其他运输设备
265010,仪器仪表Ⅲ
266010,金属制品Ⅲ
271010,电站设备Ⅲ
272010,输变电设备
272020,配电设备
272030,电力电子及自动化
272040,电机
273010,风电
273020,核电
273030,太阳能
273040,储能
273050,综合能源设备
274010,锂电池
274020,燃料电池
274030,车用电机电控
274040,电池综合服务
281010,航空军工
281020,航天军工
282010,兵器兵装Ⅲ
283010,其他军工Ⅲ
301010,乘用车Ⅲ
302010,卡车
302020,客车
302030,专用汽车
303010,汽车零部件Ⅲ
304010,汽车销售及服务Ⅲ
305010,摩托车及其他Ⅲ
311010,百货
311020,超市及便利店
311030,连锁
311040,综合业态
312010,贸易Ⅲ
313010,家电3C
313020,珠宝首饰及钟表
313030,医疗美容
313040,其他连锁
314010,电商及服务Ⅲ
315010,专业市场经营Ⅲ
321010,景区
321020,旅游服务
321030,旅游零售
321040,休闲综合
322010,酒店
322020,餐饮
323010,早幼教
323020,K12基础教育
323030,K12培训
323040,高等及职业教育
323050,教育信息化及在线教育
323060,教育综合
324010,人力资源服务
324020,服务综合
331010,白色家电Ⅲ
332010,黑色家电Ⅲ
333010,小家电Ⅲ
334010,照明电工
334020,其他家电
335010,厨房电器Ⅲ
341010,服装用纺织品
341010,棉纺制品
341020,非棉纺织品
341020,家用纺织品
341030,印染
341030,产业用纺织品
341040,其他纺织
