ID,TimeInterval,UpdateTime
0,tick05,09:30:00
1,tick05,09:30:01
2,tick05,09:30:01
3,tick05,09:30:02
4,tick05,09:30:02
5,tick05,09:30:03
6,tick05,09:30:03
7,tick05,09:30:04
8,tick05,09:30:04
9,tick05,09:30:05
10,tick05,09:30:05
11,tick05,09:30:06
12,tick05,09:30:06
13,tick05,09:30:07
14,tick05,09:30:07
15,tick05,09:30:08
16,tick05,09:30:08
17,tick05,09:30:09
18,tick05,09:30:09
19,tick05,09:30:10
20,tick05,09:30:10
21,tick05,09:30:11
22,tick05,09:30:11
23,tick05,09:30:12
24,tick05,09:30:12
25,tick05,09:30:13
26,tick05,09:30:13
27,tick05,09:30:14
28,tick05,09:30:14
29,tick05,09:30:15
30,tick05,09:30:15
31,tick05,09:30:16
32,tick05,09:30:16
33,tick05,09:30:17
34,tick05,09:30:17
35,tick05,09:30:18
36,tick05,09:30:18
37,tick05,09:30:19
38,tick05,09:30:19
39,tick05,09:30:20
40,tick05,09:30:20
41,tick05,09:30:21
42,tick05,09:30:21
43,tick05,09:30:22
44,tick05,09:30:22
45,tick05,09:30:23
46,tick05,09:30:23
47,tick05,09:30:24
48,tick05,09:30:24
49,tick05,09:30:25
50,tick05,09:30:25
51,tick05,09:30:26
52,tick05,09:30:26
53,tick05,09:30:27
54,tick05,09:30:27
55,tick05,09:30:28
56,tick05,09:30:28
57,tick05,09:30:29
58,tick05,09:30:29
59,tick05,09:30:30
60,tick05,09:30:30
61,tick05,09:30:31
62,tick05,09:30:31
63,tick05,09:30:32
64,tick05,09:30:32
65,tick05,09:30:33
66,tick05,09:30:33
67,tick05,09:30:34
68,tick05,09:30:34
69,tick05,09:30:35
70,tick05,09:30:35
71,tick05,09:30:36
72,tick05,09:30:36
73,tick05,09:30:37
74,tick05,09:30:37
75,tick05,09:30:38
76,tick05,09:30:38
77,tick05,09:30:39
78,tick05,09:30:39
79,tick05,09:30:40
80,tick05,09:30:40
81,tick05,09:30:41
82,tick05,09:30:41
83,tick05,09:30:42
84,tick05,09:30:42
85,tick05,09:30:43
86,tick05,09:30:43
87,tick05,09:30:44
88,tick05,09:30:44
89,tick05,09:30:45
90,tick05,09:30:45
91,tick05,09:30:46
92,tick05,09:30:46
93,tick05,09:30:47
94,tick05,09:30:47
95,tick05,09:30:48
96,tick05,09:30:48
97,tick05,09:30:49
98,tick05,09:30:49
99,tick05,09:30:50
100,tick05,09:30:50
101,tick05,09:30:51
102,tick05,09:30:51
103,tick05,09:30:52
104,tick05,09:30:52
105,tick05,09:30:53
106,tick05,09:30:53
107,tick05,09:30:54
108,tick05,09:30:54
109,tick05,09:30:55
110,tick05,09:30:55
111,tick05,09:30:56
