code,industry_l1,sector
AL,metals,nonferrous
CU,metals,nonferrous
RU,energy_rubber,energy_chem
A,oilseeds,agri
M,oilseeds,agri
CF,softs,agri
FU,energy_rubber,energy_chem
C,grains_livestock,agri
B,oilseeds,agri
SR,softs,agri
Y,oilseeds,agri
TA,chemicals_materials,energy_chem
ZN,metals,nonferrous
OI,oilseeds,agri
L,chemicals_materials,energy_chem
P,oilseeds,agri
AU,metals,precious_metals
RB,ferrous,ferrous
V,chemicals_materials,energy_chem
PB,metals,nonferrous
J,ferrous,ferrous
MA,chemicals_materials,energy_chem
AG,metals,precious_metals
FG,chemicals_materials,energy_chem
JM,ferrous,ferrous
BU,energy_rubber,energy_chem
I,ferrous,ferrous
JD,grains_livestock,agri
PP,chemicals_materials,energy_chem
HC,ferrous,ferrous
SF,ferrous,ferrous
SM,ferrous,ferrous
CS,grains_livestock,agri
NI,metals,nonferrous
SN,metals,nonferrous
AP,softs,agri
SP,chemicals_materials,other
EG,chemicals_materials,energy_chem
CJ,softs,agri
UR,chemicals_materials,energy_chem
SS,ferrous,nonferrous
EB,chemicals_materials,energy_chem
SA,chemicals_materials,energy_chem
PG,energy_rubber,energy_chem
PF,chemicals_materials,energy_chem
LH,grains_livestock,agri
PK,oilseeds,agri
AO,metals,nonferrous
BR,energy_rubber,other
PX,chemicals_materials,other
SH,chemicals_materials,other
